0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,19,25,13,22,35,290,269,386,507,669,808,989,1331,1644,1692,1452,1677,1374,1567,1689,1311,1338,1473,1750,1852,805,1325,
,,Travel,Travel,,US$ Millions,,IMF,7,12,5,5,12,272,257,365,489,642,786,965,1268,1555,1585,1360,1565,1284,1479,1590,1238,1262,1433,1679,1770,763,1265,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,12,13,8,17,23,18,12,21,18,27,22,24,63,89,107,92,112,90,88,99,73,76,40,71,82,42,60,
ALGERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,1090,874,827,879,903,1006,1190,1257,1254,1417,1513,1349,1499,1539,1677,1757,1715,1911,2136,2839,3638,4530,5058,5610,5732,1386,344,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,660,414,502,613,574,716,595,598,531,679,762,556,632,542,670,272,238,
,,Travel,Travel,,US$ Millions,,IMF,186,188,144,269,251,193,194,248,255,341,370,349,376,468,456,601,527,529,471,608,685,474,580,498,638,234,208,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,290,65,126,145,118,115,68,69,60,71,77,82,52,44,32,38,30,
AMERICAN SAMOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Travel,Travel,,US$ Millions,,country,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
ANDORRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,187,132,..,
,,Travel,Travel,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,180,131,..,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,1,..,
ANGOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,3,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,113,110,125,96,142,146,80,52,49,86,135,393,473,447,270,275,323,288,316,505,389,823,1216,762,717,691,800,
,,Travel,Travel,,US$ Millions,,IMF,75,73,98,75,127,136,66,19,12,39,74,148,212,254,133,148,180,159,166,113,146,594,977,555,469,615,629,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,38,37,27,21,15,10,14,33,37,47,61,245,261,193,137,127,143,129,150,392,243,229,239,207,248,76,171,
ANGUILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14,15,16,13,13,15,5,7,
,,Travel,Travel,,US$ Millions,,IMF,6,6,7,8,8,9,9,8,9,9,10,13,15,17,16,13,13,12,12,12,13,14,11,11,13,5,6,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,2,2,2,2,2,1,1,
ANTIGUA AND BARBUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89,95,101,106,112,125,47,50,
,,Travel,Travel,,US$ Millions,,IMF,23,26,27,29,30,31,32,33,35,38,40,45,52,58,54,51,49,49,50,66,70,77,82,87,101,40,43,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23,25,24,24,25,24,7,7,
ARGENTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Change of  methodology from 2016. The data from 2010 to 2015 are the product of a  statistical splice. Data prior to 2010  are not comparable with those of the 2010-2019 series.  2/ Starting 2004, as a result of the  importance of the ""Survey on International Tourism"", the estimates  of the series of the ""Travel"" item of the Balance of Payments were  modified. For this reason, the data are not rigorously comparable with those  of previous years."
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,4436,4481,4533,4928,5425,5793,6083,7676,8295,9844,10022,13159,18645,21583,18411,15352,4087,1074,"1/ Change of  methodology from 2016. The data from 2010 to 2015 are the product of a  statistical splice. Data prior to 2010  are not comparable with those of the 2010-2019 series.  2/ Starting 2004, as a result of the  importance of the ""Survey on International Tourism"", the estimates  of the series of the ""Travel"" item of the Balance of Payments were  modified. For this reason, the data are not rigorously comparable with those  of previous years."
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,3815,4296,4517,4592,4786,4953,4762,3008,3088,3904,3894,3892,4167,4614,4981,5307,6686,7266,6746,6517,7807,10417,12213,11130,9114,2841,833,"1/ Change of  methodology from 2016. The data from 2010 to 2015 are the product of a  statistical splice. Data prior to 2010  are not comparable with those of the 2010-2019 series.  2/ Starting 2004, as a result of the  importance of the ""Survey on International Tourism"", the estimates  of the series of the ""Travel"" item of the Balance of Payments were  modified. For this reason, the data are not rigorously comparable with those  of previous years."
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,532,587,641,761,811,812,776,990,1029,3098,3505,5352,8228,9370,7281,6238,1246,241,"1/ Change of  methodology from 2016. The data from 2010 to 2015 are the product of a  statistical splice. Data prior to 2010  are not comparable with those of the 2010-2019 series.  2/ Starting 2004, as a result of the  importance of the ""Survey on International Tourism"", the estimates  of the series of the ""Travel"" item of the Balance of Payments were  modified. For this reason, the data are not rigorously comparable with those  of previous years."
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,4013,4449,4973,5282,5228,5460,4888,2744,2997,3208,3554,4047,5077,5987,5808,6448,7602,8466,8421,7837,9348,12273,14180,13084,9845,3299,1894,"1/ Change of  methodology from 2016. The data from 2010 to 2015 are the product of a  statistical splice. Data prior to 2010  are not comparable with those of the 2010-2019 series.  2/ Starting 2004, as a result of the  importance of the ""Survey on International Tourism"", the estimates  of the series of the ""Travel"" item of the Balance of Payments were  modified. For this reason, the data are not rigorously comparable with those  of previous years."
,,Travel,Travel,,US$ Millions,2/,IMF,3278,3584,3962,4230,4195,4425,3893,2328,2511,2604,2790,3108,3935,4586,4536,4951,5667,6117,5932,5983,6982,9679,11378,10670,7850,2893,1366,"1/ Change of  methodology from 2016. The data from 2010 to 2015 are the product of a  statistical splice. Data prior to 2010  are not comparable with those of the 2010-2019 series.  2/ Starting 2004, as a result of the  importance of the ""Survey on International Tourism"", the estimates  of the series of the ""Travel"" item of the Balance of Payments were  modified. For this reason, the data are not rigorously comparable with those  of previous years."
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,735,865,1011,1052,1033,1035,995,416,486,604,764,939,1142,1401,1272,1497,1935,2349,2489,1854,2366,2594,2802,2414,1995,406,528,"1/ Change of  methodology from 2016. The data from 2010 to 2015 are the product of a  statistical splice. Data prior to 2010  are not comparable with those of the 2010-2019 series.  2/ Starting 2004, as a result of the  importance of the ""Survey on International Tourism"", the estimates  of the series of the ""Travel"" item of the Balance of Payments were  modified. For this reason, the data are not rigorously comparable with those  of previous years."
ARMENIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,111,110,131,169,221,269,329,468,516,526,563,715,965,1083,1198,1187,1263,1482,1623,1868,346,423,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,12,26,45,55,51,56,59,85,97,199,255,300,430,494,496,641,756,874,1007,1101,1057,1033,1218,1335,1543,301,514,
,,Travel,Travel,,US$ Millions,,IMF,3,22,41,41,37,40,40,54,67,162,207,265,379,435,443,579,687,803,930,1024,996,981,1163,1282,1489,278,466,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,9,4,4,14,14,16,19,31,30,37,48,35,51,59,53,62,69,71,77,77,61,52,55,53,54,23,48,
ARUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,79,128,161,140,151,163,156,172,213,248,250,241,270,272,264,261,287,294,342,350,357,319,349,394,399,285,339,
,,Travel,Travel,,US$ Millions,,IMF,73,120,156,135,140,146,135,159,188,218,226,218,251,250,243,243,269,275,320,329,342,319,349,381,389,281,333,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,6,8,5,5,11,17,21,13,25,30,24,23,19,22,21,18,18,19,22,21,15,..,..,13,10,4,6,
AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,2519,2732,2933,3161,3210,3498,3443,3461,3388,4369,4756,4941,5462,5808,6276,7103,7788,8212,9052,9480,9810,10390,10932,11403,11624,2832,301,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,7605,8545,8880,8307,8798,9065,8184,8640,10434,14702,16153,17293,22052,25557,22680,27851,33967,35226,40732,38827,34071,35718,39710,42438,41345,7817,1797,
,,Travel,Travel,,US$ Millions,,IMF,5165,5920,6261,5930,6181,6388,5735,5963,7337,10667,11749,12537,16454,19617,18738,22558,27371,28078,34110,33284,29190,30839,34470,36953,35968,6646,972,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,2440,2625,2619,2377,2617,2677,2449,2677,3097,4035,4404,4756,5598,5940,3942,5293,6596,7148,6622,5543,4881,4879,5240,5485,5377,1171,825,
AUSTRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Holiday and  business trips with at least one overnight stay, including stays at friends  and relatives and second homes."
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Holiday and  business trips with at least one overnight stay, including stays at friends  and relatives and second homes."
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,1/,,..,..,..,..,..,7528,8350,8266,8384,8371,8206,10042,9876,9677,10121,9882,9874,10960,10671,10994,10628,11534,11491,11043,11902,3964,7522,"1/ Holiday and  business trips with at least one overnight stay, including stays at friends  and relatives and second homes."
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Holiday and  business trips with at least one overnight stay, including stays at friends  and relatives and second homes."
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,11686,11777,10672,10399,7517,7001,7408,7743,9761,10812,11077,..,..,..,..,..,..,..,..,..,11337,11634,12878,14110,13991,5157,8245,"1/ Holiday and  business trips with at least one overnight stay, including stays at friends  and relatives and second homes."
,,Travel,Travel,,US$ Millions,,IMF,10887,11015,10062,9581,6727,6232,6579,6901,8623,9237,9316,9628,10559,11438,10826,10120,10556,9987,10253,11095,9329,9772,10768,11793,11589,4484,7351,"1/ Holiday and  business trips with at least one overnight stay, including stays at friends  and relatives and second homes."
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,799,762,610,818,790,769,829,842,1138,1575,1761,..,..,..,..,..,..,..,..,..,2008,1862,2110,2317,2402,673,894,"1/ Holiday and  business trips with at least one overnight stay, including stays at friends  and relatives and second homes."
AZERBAIJAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,432,654,1146,1204,1326,1130,1141,1475,1473,1830,1836,1631,2162,2363,3176,3550,3874,4285,4244,4096,4282,4109,4908,5568,1165,975,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,887,890,791,1048,1145,1820,2308,2829,3307,3319,3256,3592,3447,3919,4579,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,943,946,840,1114,1217,1356,1242,1045,978,925,840,690,662,989,989,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,165,115,193,181,149,138,119,110,120,140,188,256,381,456,488,856,1778,2617,3032,3163,2743,2593,2803,2453,1839,439,655,
,,Travel,Travel,,US$ Millions,,IMF,146,100,186,170,139,132,109,105,111,126,164,201,264,343,406,782,1689,2477,2877,3008,2603,2494,2658,2284,1702,412,562,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,19,15,7,11,10,6,10,5,9,14,24,55,117,113,82,74,89,140,155,155,140,99,145,169,137,27,93,
BAHAMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,241,279,310,310,310,348,342,338,404,469,528,541,538,460,386,369,347,384,362,328,347,440,554,519,514,167,253,
,,Travel,Travel,,US$ Millions,,IMF,213,235,250,256,276,261,256,244,305,316,344,385,377,305,240,228,246,286,262,212,238,329,371,332,335,110,149,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,28,44,60,54,34,87,86,94,99,153,184,156,161,155,146,141,101,98,100,116,109,111,183,187,179,57,104,
BAHRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Source:  Outbound tourism survey.  2/ From 2015 the expenditure figures used were the ones provided by the  country to UNWTO, as this data series is more complete than that provided by  the International Monetary Fund (IMF)."
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4741,3293,3136,2868,2950,752,..,"1/ Source:  Outbound tourism survey.  2/ From 2015 the expenditure figures used were the ones provided by the  country to UNWTO, as this data series is more complete than that provided by  the International Monetary Fund (IMF)."
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3676,1842,1744,1520,1550,464,..,"1/ Source:  Outbound tourism survey.  2/ From 2015 the expenditure figures used were the ones provided by the  country to UNWTO, as this data series is more complete than that provided by  the International Monetary Fund (IMF)."
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1064,1451,1392,1348,1400,288,..,"1/ Source:  Outbound tourism survey.  2/ From 2015 the expenditure figures used were the ones provided by the  country to UNWTO, as this data series is more complete than that provided by  the International Monetary Fund (IMF)."
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,2/,IMF,320,298,318,327,395,425,423,550,492,528,574,639,671,704,597,684,899,975,1001,758,4939,3267,3178,2522,2637,844,..,"1/ Source:  Outbound tourism survey.  2/ From 2015 the expenditure figures used were the ones provided by the  country to UNWTO, as this data series is more complete than that provided by  the International Monetary Fund (IMF)."
,,Travel,Travel,,US$ Millions,2/,IMF,122,109,122,142,212,224,250,380,372,387,414,455,479,503,408,506,718,814,839,611,4342,2383,2300,1659,1720,485,..,"1/ Source:  Outbound tourism survey.  2/ From 2015 the expenditure figures used were the ones provided by the  country to UNWTO, as this data series is more complete than that provided by  the International Monetary Fund (IMF)."
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,2/,IMF,198,189,196,185,183,201,173,170,120,141,160,184,192,201,189,178,181,161,162,147,597,884,878,863,917,359,..,"1/ Source:  Outbound tourism survey.  2/ From 2015 the expenditure figures used were the ones provided by the  country to UNWTO, as this data series is more complete than that provided by  the International Monetary Fund (IMF)."
BANGLADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,830,911,866,992,1103,1128,1075,1158,1414,1565,1767,1819,2327,875,2254,1913,2127,2273,1460,..,..,..,..,..,1564,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,..,251,314,294,375,471,341,309,389,442,371,481,530,735,651,835,819,889,1308,782,827,843,1127,1207,1389,618,892,
,,Travel,Travel,,US$ Millions,,IMF,234,135,178,151,211,290,165,113,165,161,141,142,156,184,249,261,332,304,350,400,427,484,603,755,920,394,630,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,..,116,136,143,164,181,176,196,224,281,230,339,374,551,402,574,487,585,958,382,400,359,524,452,469,224,262,
BARBADOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,110,114,120,126,132,141,149,146,153,163,158,166,177,154,128,145,114,100,102,115,119,99,51,..,..,..,..,
