0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
,,,Other not classified,Other not classified,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,"of which, nationals residing abroad",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Arrivals by main purpose,Arrivals by main purpose,Arrivals by main purpose,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Total,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Personal,Personal,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Business and professional,Business and professional,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Arrivals by mode of transport,Arrivals by mode of transport,Arrivals by mode of transport,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Total,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Air,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Water,Water,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Land,Land,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Accommodation,Accommodation,Accommodation,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Guests,Guests,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights,Overnights,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Hotels and similar establishments,Hotels and similar establishments,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Guests,Guests,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights,Overnights,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in the country,Tourism expenditure in the country,Tourism expenditure in the country,Tourism expenditure in the country,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,57,89,147,165,167,179,121,86,62,16,50,85,75,..,
,,Travel,Travel,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,17,36,75,85,102,138,109,79,49,2,28,72,65,..,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,40,53,72,80,65,41,12,7,13,14,22,13,10,..,
ALBANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arrivals,Arrivals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,Total arrivals,Total arrivals,Total arrivals,Thousands,1/ 2/,VF,304,287,119,184,371,317,354,470,557,645,748,937,1127,1420,1856,2417,2932,3514,3256,3673,4131,4736,5118,5927,6406,2658,5689,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,1/,TF,..,..,..,..,..,..,..,..,..,..,..,..,1062,1247,1711,2191,2469,3156,2857,3341,3784,4070,4643,5340,6128,2604,5515,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,65,83,64,52,67,71,220,127,162,507,293,587,278,54,174,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,,,"of which, cruise passengers",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,Arrivals by region,Arrivals by region,Arrivals by region,Arrivals by region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,Total,Total,,Thousands,1/ 2/,VF,..,..,..,..,357,317,342,471,558,646,748,937,1127,1419,1855,2417,2932,3514,3256,3673,4131,4736,5118,5927,6406,2658,5689,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,,Africa,Africa,Thousands,,,..,..,..,..,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.2,3,1,1,1,1,3,1,2,4,24,2,3,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,,Americas,Americas,Thousands,,,..,..,..,..,11,14,14,16,19,26,35,42,52,61,60,62,70,74,73,90,97,104,124,149,157,30,116,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,,East Asia and the Pacific,East Asia and the Pacific,Thousands,,,..,..,..,..,1,2,2,3,4,4,5,8,10,15,28,11,17,20,24,31,33,36,54,68,68,5,8,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,,Europe,Europe,Thousands,,,..,..,..,..,322,295,320,439,532,610,703,857,1061,1335,1513,2239,2739,3214,2964,3424,3759,4485,4687,5332,5796,2617,5173,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,,Middle East,Middle East,Thousands,,,..,..,..,..,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,3,4,4,5,7,12,2,37,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,,South Asia,South Asia,Thousands,,,..,..,..,..,0.2,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,1,1,1,1,1,1,1,2,2,2,3,4,1,21,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,,Other not classified,Other not classified,Thousands,,,..,..,..,..,22,4,5,11,1,4,3,28,2,6,252,100,103,202,190,123,234,103,245,365,346,2,331,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,,,"of which, nationals residing abroad",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,Arrivals by main purpose,Arrivals by main purpose,Arrivals by main purpose,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,Total,Total,,Thousands,1/ 2/,VF,..,..,..,169,341,295,340,470,558,645,748,937,1126,1419,1856,2417,2932,3514,3256,3673,4131,4736,5118,5927,6406,2658,5689,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,,Personal,Personal,Thousands,,,..,..,..,106,172,218,243,370,470,582,680,889,1060,1340,1804,2370,2889,3472,3206,3624,4089,4677,5050,5840,6305,2543,5588,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,,Business and professional,Business and professional,Thousands,,,..,..,..,63,169,77,97,100,88,63,68,48,66,79,52,47,43,42,50,48,42,59,69,87,101,115,100,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,Arrivals by mode of transport,Arrivals by mode of transport,Arrivals by mode of transport,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,Total,Total,,Thousands,1/ 2/,VF,304,287,119,184,371,317,354,470,558,646,748,937,1126,1419,1856,2417,2932,3514,3256,3673,4131,4736,5118,5927,6406,2658,5689,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,,Air,,Thousands,,,45,39,32,79,86,72,91,80,87,103,128,151,182,206,227,246,267,273,314,337,401,457,578,692,784,270,765,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,,Water,Water,Thousands,,,83,78,19,33,152,79,103,111,120,139,130,141,162,189,215,216,191,180,182,198,211,276,393,439,468,64,206,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,,Land,Land,Thousands,,,176,170,68,72,133,166,160,279,351,404,490,645,782,1024,1414,1955,2474,3061,2760,3138,3519,4003,4147,4796,5154,2324,4718,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,Accommodation,Accommodation,Accommodation,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,Total,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,,Guests,Guests,Thousands,3/,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,767,785,294,685,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,,Overnights,Overnights,Thousands,3/,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2144,2150,805,2031,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,Hotels and similar establishments,Hotels and similar establishments,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,,Guests,Guests,Thousands,4/ 5/,,41,64,23,22,26,32,34,36,41,34,57,63,67,57,65,74,136,149,118,161,257,..,..,691,736,281,657,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,,Overnights,Overnights,Thousands,4/ 5/,,89,144,66,73,96,98,92,143,136,90,130,137,173,131,170,185,356,352,215,259,484,..,..,1894,1987,748,1932,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,Tourism expenditure in the country,Tourism expenditure in the country,Tourism expenditure in the country,Tourism expenditure in the country,US$ Millions,,IMF,70,94,34,60,218,398,451,492,537,756,880,1057,1479,1850,2013,1778,1833,1623,1670,1849,1613,1821,2050,2306,2458,1243,2480,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,Travel,Travel,,US$ Millions,,IMF,65,77,27,54,211,389,446,487,522,735,854,1012,1378,1715,1828,1611,1632,1463,1473,1700,1499,1693,1943,2186,2329,1134,2257,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,5,17,7,6,7,9,5,5,15,21,26,45,101,135,185,167,201,160,197,149,114,128,107,120,129,109,223,"1/ Excluding  nationals residing abroad.  2/ Including in transit visitors.  3/ Source: Accomodation Establishments Survey (Non-residents; NACE 55.10,  55.20 and 55.30 of NACE Rev.2).  4/ Short Term Survey. Hotels only. From 2012 to 2015, the classification  used for SBS is NACE Rev. 2.  5/ From 2018 Source: Accomodation  Establishments Survey (By non-residents; only NACE 55.10 of NACE Rev.2)."
ALGERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arrivals,Arrivals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Including  nationals residing abroad.  2/ 1995-2004: country data.
,,Total arrivals,Total arrivals,Total arrivals,Thousands,1/,VF,520,605,635,678,749,866,901,988,1166,1234,1443,1638,1743,1772,1912,2070,2395,2634,2733,2301,1710,2039,2451,2657,2371,591,125,1/ Including  nationals residing abroad.  2/ 1995-2004: country data.
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1/ Including  nationals residing abroad.  2/ 1995-2004: country data.
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1/ Including  nationals residing abroad.  2/ 1995-2004: country data.
,,,,"of which, cruise passengers",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1/ Including  nationals residing abroad.  2/ 1995-2004: country data.
,Arrivals by region,Arrivals by region,Arrivals by region,Arrivals by region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Including  nationals residing abroad.  2/ 1995-2004: country data.
,,Total,Total,,Thousands,1/,VF,520,605,634,678,749,866,901,987,1166,1233,1443,1638,1743,1772,1912,2070,2394,2634,2733,2301,1710,2039,2451,2657,2371,591,125,1/ Including  nationals residing abroad.  2/ 1995-2004: country data.
,,,Africa,Africa,Thousands,,,43,35,34,37,51.0,56.0,63.0,72.0,112.0,131.0,161.0,160.0,158.0,194.0,258.0,311,554,635,591,542,659,901,1177,1429,1478,410,14,1/ Including  nationals residing abroad.  2/ 1995-2004: country data.
,,,Americas,Americas,Thousands,,,2,2,2,2,3,3,3,5,5,7,8,10,10,11,13,10,12,12,10,10,10,12,13,21,16,3,2,1/ Including  nationals residing abroad.  2/ 1995-2004: country data.
,,,East Asia and the Pacific,East Asia and the Pacific,Thousands,,,2,1,1,3,4,5,5,9,8,9,15,19,27,39,47,42,55,55,46,50,75,58,63,85,68,12,10,1/ Including  nationals residing abroad.  2/ 1995-2004: country data.
,,,Europe,Europe,Thousands,,,38,46,48,57,73,99,107,140,157,198,228,253,271,268,284,242,219,240,245,258,289,311,376,427,321,72,34,1/ Including  nationals residing abroad.  2/ 1995-2004: country data.
,,,Middle East,Middle East,Thousands,,,13,10,9,8,10,13,18,24,23,23,29,37,45,45,54,50,61,40,73,81,50,42,80,57,50,13,7,1/ Including  nationals residing abroad.  2/ 1995-2004: country data.
,,,South Asia,South Asia,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1/ Including  nationals residing abroad.  2/ 1995-2004: country data.
,,,Other not classified,Other not classified,Thousands,,,422,511,540,571,608,690,705,737,861,865,1002,1159,1232,1215,1256,1415,1493,1652,1769,1361,627,717,742,638,437,81,58,1/ Including  nationals residing abroad.  2/ 1995-2004: country data.
,,,,"of which, nationals residing abroad",Thousands,,,422,511,540,571,608,690,705,737,861,865,1002,1159,1232,1215,1256,1415,1493,1652,1769,1361,627,717,742,638,437,81,58,1/ Including  nationals residing abroad.  2/ 1995-2004: country data.
,Arrivals by main purpose,Arrivals by main purpose,Arrivals by main purpose,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Including  nationals residing abroad.  2/ 1995-2004: country data.
,,Total,Total,,Thousands,1/,VF,..,..,..,..,..,..,..,..,305,368,441,467,511,556,656,655,902,982,964,940,1083,1323,1708,2019,1934,510,67,1/ Including  nationals residing abroad.  2/ 1995-2004: country data.
,,,Personal,Personal,Thousands,,,..,..,..,..,..,..,..,..,240,267,323,321,326,359,429,377,630,702,672,612,723,942,1470,1838,1776,475,22,1/ Including  nationals residing abroad.  2/ 1995-2004: country data.
